league,team,venue,city,state,vendor,stand_name,section,item_name,description,price,category,source_url,season
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,Topped Cart,,Gate 6,The Lemon Pepper Loaded Footlong,"You can't talk about Atlanta without lemon pepper. This features a jumbo footlong hot dog, deep-fried and heavily tossed in a zesty, buttery lemon pepper seasoning.",,Headline Item,,2026
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,Jerk Chicken Sandwich,,Sections 118 & 211,Jerk Chicken Sandwich,"A massive nod to Atlanta's Caribbean community. It features a 24-hour jerk-marinated chicken thigh from Springer Mountain Farms, topped with sweet mango slaw, fried plantains, and cilantro aioli on a challah bun.",,Headline Item,,2026
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,The BBQ Smashburger,,Section 107,The BBQ Smashburger,"Chef Garvin's signature item. A razor-thin, caramelized smash patty topped with crispy onion rings, pepper jack cheese, and a sweet-and-tangy Southern BBQ sauce on a Vidalia onion bun.",,Headline Item,,2026
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,Peach Hand Pie,,Various Sweet Stands,Peach Hand Pie,"A nostalgic, flaky pastry dough pocket stuffed with sweet Georgia peach filling, dusted with cinnamon sugar and caramel.",,Drinks/Social,,2026
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,J.R. Crickets,,Gate 5,J.R. Crickets,The award-winning Atlanta institution famous for its wings (famously highlighted in Donald Glover's Atlanta show) serves up its signature buffalo and lemon pepper baskets right by the entrance.,,Local Partner,,2026
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,Dolo’s Pizza,,Gate 5,Dolo’s Pizza,"A black-owned local favorite serving up delicious, non-traditional New York-style slices with high-quality ingredients.",,Local Partner,,2026
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,Handspun Milkshakes,,Section 108 & 214,Handspun Milkshakes,"Thick, real-milk shakes featuring a rotating seasonal menu, with the Georgia Peach and Cookies & Cream driving the longest lines.",,Drinks/Social,,2026
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,The Hawk Bar,,Delta SKY360° Club,The Hawk Bar,The first-ever bar built literally on the hardwood in the NBA. Floor-seat ticket holders can stand mere feet from the sideline while bartenders mix high-end speakeasy-style cocktails.,,Drinks/Social,,2026
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,The Hawk Bar,,Delta SKY360° Club,The Guest Chef Program,"Curated by Chef Garvin, this initiative rotates nearly 20 local minority- and women-owned neighborhood restaurants (like Breakfast at Barney's and Cubanos) through the premium clubs and the main concourse to showcase…",,Drinks/Social,,2026
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,The Black Bean Burger,,"Sections 118, 211, 221",The Black Bean Burger,"Swapping out processed faux meats for a classic house-made recipe, this features a spicy black bean, pepper, and onion patty topped with fresh cilantro aioli.",,Dietary/Value,,2026
NBA,Atlanta Hawks,State Farm Arena,Atlanta,GA,Mediterranean Vegan Falafel,,"Sections 107, 114, 227",Mediterranean Vegan Falafel,"Golden-brown fried falafel served on warm pita bread with cucumbers, tomatoes, red onions, and a cool vegan tzatziki.",,Dietary/Value,,2026
NBA,Boston Celtics,TD Garden,Boston,MA,"The ""Battle of the Beef""",,Various Sections,"The ""Battle of the Beef""","An epic tribute to Massachusetts roast beef culture. It’s a massive three-compartment vessel holding three distinct styles: the North Shore 3-Way (mayo, James River BBQ sauce, and cheese), the Salem Spicy (horseradish…",,Headline Item,,2026
NBA,Boston Celtics,TD Garden,Boston,MA,Big Bad Burger,,Balcony Section 311,North Station Stack,"Peak Boston. A savory double cheeseburger topped with bacon, slapped right between two Dunkin’ original glazed donuts instead of a bun.",,Headline Item,,2026
NBA,Boston Celtics,TD Garden,Boston,MA,Big Bad Burger,,Loge 8,The Fluffernutter Burger,"A wild nod to a New England childhood classic. A double beef patty layered with creamy marshmallow Fluff, peanut butter, and crispy bacon.",,Headline Item,,2026
NBA,Boston Celtics,TD Garden,Boston,MA,The New England Footlong,,Hub Hot Dog Locations,The New England Footlong,"A jumbo all-beef frank smothered in Samuel Adams beer cheese, sweet mustard, and a heavy crunch of crushed Cape Cod Kettle Chips.",,Headline Item,,2026
NBA,Boston Celtics,TD Garden,Boston,MA,Frito-Lay Test Kitchen,,Level 4,Flaming Hot Korean Corn Dog,"A hot dog dipped in a thick Korean-style batter, brushed with queso, and completely encrusted in crushed Flamin' Hot Cheetos.",,Headline Item,,2026
NBA,Boston Celtics,TD Garden,Boston,MA,Frito-Lay Test Kitchen,,Level 4,Cool Ranch Cheese Bites,"Creamy Boursin and mozzarella cheeses rolled in pasta, coated in crushed Cool Ranch Doritos, and deep-fried into a crispy, molten snack.",,Headline Item,,2026
NBA,Boston Celtics,TD Garden,Boston,MA,"Butter ""UR' Biscuit",,Level 4 JetBlue Runway Concourse,"Butter ""UR' Biscuit","The wildly popular local Latin Soul food truck officially graduated to a permanent storefront inside the arena. Fans flock here for their signature Empanadas, Chicken and Waffles, and scratch-made biscuits.",,Local Partner,,2026
NBA,Boston Celtics,TD Garden,Boston,MA,Sal’s Pizza,,Multiple Sections,Sal’s Pizza,"A local slice institution delivering massive, fast-moving New York-style slices (Cheese, Pepperoni, and Veggie Supreme).",,Local Partner,,2026
NBA,Boston Celtics,TD Garden,Boston,MA,Back Bay BBQ,,Levels 4 & 7,Back Bay BBQ,"Beyond the brisket, the sleeper hit here is the warm Jalapeño Cheddar Corn Muffins served with sweet honey butter.",,Local Partner,,2026
NBA,Boston Celtics,TD Garden,Boston,MA,Garden Grill,,"Level 4, Loge 8",The New Allergen-Friendly Stand,"A huge win for inclusive dining. This dedicated station is completely stocked with Gluten-Free Chicken Tenders & Wraps, Beyond Meat Burgers & Sausages, crispy cauliflower, sweet potato fries, and fresh kale salads.",,Dietary/Value,,2026
NBA,Brooklyn Nets,Barclays Center,Brooklyn,NY,Double Stack Smashburger,,7th Street Burger,Double Stack Smashburger,"NYC's legendary smashburger phenom has a permanent outpost inside the arena. Expect lacy-edged, ultra-crispy patties layered with melted American cheese, pickles, and their signature house sauce.",,Headline Item,,2026
NBA,Brooklyn Nets,Barclays Center,Brooklyn,NY,Spicy Rigatoni,,Parm - Main Concourse,Spicy Rigatoni,"Bringing NYC's major ""red sauce"" trend to the basketball crowd.Perfectly cooked rigatoni tossed in a rich, velvety, and deeply savory spicy vodka sauce.",,Headline Item,,2026
NBA,Brooklyn Nets,Barclays Center,Brooklyn,NY,Spicy Rigatoni,,Parm - Main Concourse,"The ""Brooklyn Signature"" Cocktail","The definitive drink of the arena, inspired by the borough's ubiquitous street vendors. It’s a vibrant, spicy mango margarita finished with a heavy Tajín-crusted rim.",,Headline Item,,2026
NBA,Brooklyn Nets,Barclays Center,Brooklyn,NY,Colossal Chocolate Chip Walnut Cookie,,Levain Bakery,Colossal Chocolate Chip Walnut Cookie,"The legendary, gooey, 6-ounce NYC cookie has officially made its way to the concourse.",,Headline Item,,2026
NBA,Brooklyn Nets,Barclays Center,Brooklyn,NY,Coco Bred Pockets,,Coco Bred - Brooklyn Market,Coco Bred Pockets,"Pillowy, sweet Jamaican coco bread split open and stuffed to the brim with deeply seasoned island meats and spicy jerk flavors.",,Headline Item,,2026
NBA,Brooklyn Nets,Barclays Center,Brooklyn,NY,Brooklyn Market,,Section 17,smok-haus,Low-and-slow authentic American BBQ paired with international street food. The BBQ Pulled Pork Sliders are a massive hit for the home crowd.,,Local Partner,,
