league,team,venue,city,state,vendor,stand_name,section,item_name,description,category,season,venue_slug
MLS,Austin FC,Q2 Stadium,Austin,TX,Bao’d Up,,Section 118,Bao’d Up,"Modern Asian street food tailored perfectly for the stands. Fans line up for their ultra-pillowy steamed bao buns, most notably the Spicy Brisket Bao and the signature Smoked Brisket Bao.",Local Partner,2026,q2-stadium
MLS,Austin FC,Q2 Stadium,Austin,TX,ONETACO,,Section 122,ONETACO,"A high-velocity favorite debuting freshly upgraded, scratch-made corn tortillas for their viral Birria Quesadillas, Tacos Al Pastor, and a rotating ""Specialty Taco of the Match.""",Local Partner,2026,q2-stadium
MLS,Austin FC,Q2 Stadium,Austin,TX,T-Loc's Sonoran Hot Dogs,,Section 119,T-Loc's Sonoran Hot Dogs,"Bringing a cult-favorite Austin food truck staple to the pitch, slinging massive, bacon-wrapped Sonoran hot dogs tucked inside their signature, vibrant Verde-bun.",Local Partner,2026,q2-stadium
MLS,Austin FC,Q2 Stadium,Austin,TX,Chi’Lantro,,Concourse,Chi’Lantro,"The undisputed kings of Korean-Mexican fusion, keeping the crowd fueled with their immensely popular K-Pop Chicken and kimchi fries.",Local Partner,2026,q2-stadium
MLS,Austin FC,Q2 Stadium,Austin,TX,Easy Tiger Pretzels,,Sections 108 & 127,Easy Tiger Pretzels,"Austin’s premier bakery commands long lines for what are universally agreed to be the absolute best, giant artisan soft pretzels in Texas.",Dietary/Value,2026,q2-stadium
MLS,FC Cincinnati,TQL Stadium,Cincinnati,OH,Gomez Salsa,,Section 113,The Gomez Turtle,"A literal Cincinnati cult favorite. The ""Turtle"" is a brilliant hybrid burrito-quesadilla. A giant flour tortilla is packed flat with rice, beans, meat, veggies, sour cream, and a crunchy tostada shell, then sealed…",Headline Item,2026,tql-stadium
MLS,FC Cincinnati,TQL Stadium,Cincinnati,OH,Wings and Rings,,Section 106,Buffalo Chicken Totchos,"A heavy-hitting comfort play. Golden, crispy tater tots completely blanketed in spicy buffalo chicken dip, melted cheddar, blue cheese crumbles, and fresh jalapeños.",Local Partner,2026,tql-stadium
MLS,FC Cincinnati,TQL Stadium,Cincinnati,OH,Skyline Chili,,Sections 116 & 131,Skyline Chili,"The undisputed king of Cincinnati comfort. Fans pack the concourse for authentic Cheese Coneys (a snappy hot dog topped with mustard, secret-recipe spiced chili, chopped onions, and a literal mountain of finely…",Local Partner,2026,tql-stadium
MLS,FC Cincinnati,TQL Stadium,Cincinnati,OH,Graeter's Ice Cream,,Section 114,Graeter's Ice Cream,"Serving up the city's world-famous, ultra-dense French Pot ice cream. The mandatory move here is a scoop of the legendary Black Raspberry Chocolate Chip, featuring massive, hand-cut gourmet chocolate chunks.",Local Partner,2026,tql-stadium
MLS,FC Cincinnati,TQL Stadium,Cincinnati,OH,Rhinegeist Bar,,Section 103,Rhinegeist Brewery,"Located just steps away from the brewery's actual OTR headquarters, this massive concourse destination pours fresh pints of their flagship Truth IPA alongside Cheetah, a crisp, clean lager brewed in direct partnership…",Local Partner,2026,tql-stadium
MLS,Colorado Rapids,DICK'S Sporting Goods Park,Commerce City,CO,The Corner Kick,,Section 101,Chicken Green Chili Mac & Cheese,"A flawless, decadent nod to Colorado’s obsession with green chili. Velvety mac and cheese kicked up with a spicy, smoky green chili punch and loaded with tender chicken.",Local Partner,2026,dick-s-sporting-goods-park
