league,team,venue,city,state,vendor,stand_name,section,item_name,description,price,category,source_url,season
NHL,Anaheim Ducks,Honda Center,Anaheim,CA,Feather & Flame,,Section 426,The Tri-Tip Plate,"A magnificent addition to the 400 level. Tender, slow-smoked local tri-tip steak served alongside rich white cheddar mac & cheese, freshly baked cornbread, and smoked corn on the cob. (They also sling a killer Smoked…",,Headline Item,,2026
NHL,Anaheim Ducks,Honda Center,Anaheim,CA,Hat Trick Hawaiian BBQ,,Section 228,Hawaiian BBQ Bowls,"Bringing a splash of the Pacific to the ice. Charred, sweet-and-savory teriyaki chicken or pork served over white rice with a side of macaroni salad.",,Headline Item,,2026
NHL,Anaheim Ducks,Honda Center,Anaheim,CA,Slapshot Grill,,Sections 217 & 441,The Smokehouse Burger,"Honda Center's newly upgraded signature burger. A thick, lacy-edged smash patty layered with melted cheddar, crispy onion rings, and a heavy pour of tangy whiskey BBQ sauce.",,Headline Item,,2026
NHL,Anaheim Ducks,Honda Center,Anaheim,CA,Slapshot Grill,,Section 441,Chili Cheese Curly Fries,"Heavily seasoned curly fries piled high inside a souvenir basket and smothered in a thick, hearty beef chili and molten cheese sauce.",,Headline Item,,2026
NHL,Anaheim Ducks,Honda Center,Anaheim,CA,Anaheim Pizza Co.,,Section 419,Deep Dish Supreme Slices,"Thick, caramelized, pillowy deep-dish pizza squares that have officially replaced the arena's old thin-crust concessions.",,Headline Item,,2026
NHL,Anaheim Ducks,Honda Center,Anaheim,CA,Hat Trick Hawaiian BBQ,,Section 228,Pineapple & Vanilla Soft-Serve,"A brilliant, local-favorite tribute to a certain world-famous Anaheim theme park down the street. It gives fans the ultimate creamy, tropical treat right between periods.",,Drinks/Social,,
NHL,Anaheim Ducks,Honda Center,Anaheim,CA,Assorted Tiramisu,,Section 419,Assorted Tiramisu,"A highly unexpected, upscale dessert addition to the upper concourse, offering gourmet, espresso-soaked ladyfingers inside quick-service pastry cases.",,Drinks/Social,,
NHL,Anaheim Ducks,Honda Center,Anaheim,CA,Arena Classics,,Section 434,Bottle Logic Brewing Integration,Orange County boasts one of the most elite craft beer scenes in America. Honda Center leans heavily into this by loading down its automated beverage refrigerators with fresh tallboys of local legends like Bottle Logic…,,Drinks/Social,,
NHL,Anaheim Ducks,Honda Center,Anaheim,CA,Quack Snacks,,Section 421,Quack Snacks,"To offset the closed sit-down spaces, the arena rolled out automated, checkout-free grab-and-go hubs packed with rapid-access canned seltzers, wraps, and quick game-night snacks.",,Drinks/Social,,
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,Return of the Dominator,,100 Level Grill,Return of the Dominator,"A chaotic, multi-layered masterpiece built for playoff appetites. This monster features four beef patties, smoked brisket, bacon, house-made jalapeños, boom-boom sauce, American cheese, and ancho BBQ sauce—all stacked…",,Headline Item,,2026
