league,team,venue,city,state,vendor,stand_name,section,item_name,description,price,category,source_url,season
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,The Hippo Pocket,,Section 349,The Hippo Pocket,"A viral favorite—this is a deep-fried tortilla pocket stuffed with seasoned beef, queso, lettuce, tomato, and lime crema. There is also a Philly Cheesesteak version.",,Headline Item,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Dirty Soda Shoppe,,Section 118,Starry Night,A berry-forward citrus soda.,,Headline Item,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Dirty Soda Shoppe,,Section 118,Rootbeer Mayhem,A root beer float-style drink with cream and vanilla.,,Headline Item,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Dirty Soda Shoppe,,Section 118,Toffee Surprise,A caramel-toffee infused cola.,,Headline Item,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Soul Bowl,,Section 214,Waffle Cone Fusion,"Served in savory waffle cones. Options include Pulled Pork over Mac & Cheese, Cold Curry Chicken Salad, or Chicken Tinga.",,Headline Item,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,The Lao Brat,,"Section 124, 130, 304",The Lao Brat,"A spicy, house-made Lao-style bratwurst topped with zesty coleslaw and served on a toasted bun.",,Headline Item,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Walleye Finger Fish & Chips,,Section 101,Walleye Finger Fish & Chips,A true Minnesota staple—deep-fried local walleye strips served with malt vinegar fries and tartar sauce.,,Headline Item,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Andrew Zimmern’s Canteen,,Section 114 & 342,AZC Hoagies,Serving Italian-style sandwiches like the Porchetta Hoagie and Bomboloni (Italian donuts).,,Local Partner,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Andrew Zimmern’s Canteen,,Section 114 & 342,AZC Rotisserie,"Offering slow-roasted beef, lamb, and pork by the pound or in sandwich form.",,Local Partner,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Parlour Burger,,Section 118 & 344,Parlour Burger,"Consistently voted the best burger in the Twin Cities. This is a simple, high-end smashburger with American cheese and a secret sauce.",,Local Partner,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Ike’s Food & Cocktails,,Section 119 & 329,Ike’s Food & Cocktails,"Known for their ""Weekender"" Bloody Mary and succulent hand-carved Steak and Turkey Sandwiches.",,Local Partner,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Revival,,Section 111,Revival,"The go-to for Southern Fried Chicken and ""Nashville Hot"" varieties, alongside their famous mac and cheese and hushpuppies.",,Local Partner,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Soul Bowl,,Section 214 & 317,Soul Bowl,"Chef Gerard Klass brings Caribbean-Soul fusion to the stadium. Look for the ""Hot Honey"" Chicken Mac & Cheese topped with crispy bacon.",,Local Partner,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Switch Up,,Section 126,Switch Up,"A rotating ""pop-up"" stand that changes its menu every month based on fan votes. Previous winners like Walleye Nachos and Pork Belly Banh Mi occasionally return as permanent fixtures.",,Local Partner,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Mac Time,,Section 133,Mac Time,A build-your-own mac and cheese bar. Popular combos include the BBQ Brisket Macand the Nashville Tot Mac.,,Local Partner,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Von Hanson’s Meats,,"Section 103, 124, 237",Von Hanson’s Meats,A local butcher institution serving the Brat-in-a-Blanket (a bratwurst wrapped in a seasoned pretzel crust).,,Local Partner,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Official Hockey Mom Brownies,,Multiple Sections,Official Hockey Mom Brownies,"Thick, fudgy brownies that have become a stadium tradition.",,Local Partner,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Minneapolis Cocktail Co.,,Section 336,Minneapolis Cocktail Co.,Features hand-crafted cocktails using local spirits and seasonal mixers.,,Drinks/Social,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,The Walk-Thru Bru,,"Section 101, 208, 333",The Walk-Thru Bru,"Frictionless ""Just Walk Out"" markets where you can grab local craft cans and snacks without waiting in a traditional line.",,Drinks/Social,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Pendleton Whisky Longhouse,,Medtronic Plaza,Pendleton Whisky Longhouse,"A massive outdoor social zone with live music and large-screen game broadcasts, perfect for pre-game tailgating.",,Drinks/Social,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Wholesome Wonders,,Section 119 & 122,Wholesome Wonders,"A dedicated health hub offering Gluten-Free parfaits, fresh grain salads, and vegan wraps.",,Dietary/Value,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,Be Graceful,,"Section 121, 328",Be Graceful,"The stadium’s primary Vegan & Vegetarian destination, serving plant-based burgers, chickpea salads, and cauliflower ""wings.""",,Dietary/Value,,2026
NFL,Minnesota Vikings,U.S. Bank Stadium,Minneapolis,MN,PoppedCorn,,Section 104,PoppedCorn,Offers various gourmet popcorns and dairy-free fudge options.,,Dietary/Value,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Cotton Candy Burrito,,Section 222 & 247,Cotton Candy Burrito,"The most viral dessert in the NFL this year. Cotton candy-flavored ice cream topped with Fruity Pebbles, Froot Loops, marshmallows, Skittles, and gummy bears, all wrapped in a literal shell of hand-spun cotton candy.",,Headline Item,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Flaming Hot Cheeto Chicken Tenders,,Section 124,Flaming Hot Cheeto Chicken Tenders,"Crispy chicken tenders coated in Tostitos nacho cheese sauce and crushed Flamin' Hot Cheetos, served with a side of fresh dill pickles.",,Headline Item,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Chicken and Waffle Sandwich,,Section 124,Chicken and Waffle Sandwich,"Fried chicken topped with maple chive butter, honey-hot pimento cheese bites, and a fried pickle, served between two golden waffles.",,Headline Item,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Meatball Hoagie on a Stick,,Section 129,Meatball Hoagie on a Stick,"Two massive meatballs intertwined with hoagie dough, baked until golden, topped with parmesan, and served with a side of marinara for dipping.",,Headline Item,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Vienna Beef Jalapeño Cheddar Dog-a-Dilla,,Section 119,Vienna Beef Jalapeño Cheddar Dog-a-Dilla,"A juicy jalapeño cheddar sausage topped with sharp cheddar, crema, and scallions, rolled tightly inside a pressed tortilla.",,Headline Item,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Birria Disco Fries,,"Sections 107, 129, 408",Birria Disco Fries,"A Southwestern take on poutine—fries topped with slow-braised beef short rib birria, oaxaca cheese, red onions, cilantro, and ""birria gravy.""",,Headline Item,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Someburros,,"Sections 102, 121, 413",Someburros,A legendary Arizona family favorite serving authentic Pollo Fundido and crispy tacos.,,Local Partner,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Barrio Queen,,Section 135,Barrio Queen,Known for their award-winning Mexican street food. Their Carnitas Tacos and Green Chile Chicken are top-tier options.,,Local Partner,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Spinato’s Pizzeria,,"Sections 113, 132, 416",Spinato’s Pizzeria,"Famous for their signature sweet sauce and thin-crust slices. For 2026, they have added a Meatball Sub to their stadium lineup.",,Local Partner,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Honey Bear’s BBQ,,Sections 113 & 416,Honey Bear’s BBQ,"A Phoenix institution serving ""Tennessee-style"" BBQ with an Arizona twist. Their Beef Brisket Sandwich is a stadium staple.",,Local Partner,,2026
NFL,Arizona Cardinals,State Farm Stadium,Glendale,AZ,Pork on a Fork,,Section 127,Pork on a Fork,"Consistently ranked among the best BBQ in the nation, offering Pulled Pork Nachos and slow-smoked ribs.",,Local Partner,,2026
